,Superficie,ProxCarretera,ProxCallePrincipal,ProxViasTren,RatingEstrellas,SinGaraje,3plantas,AgeOfHouse,YearsSinceReform,hab*aseos,hab*rating,aseos*rating,aseos*rating*hab,Tipo_Casa baja,Tipo_Chalet adosado,Tipo_Chalet individual,Tipo_Dúplex,Tipo_Piso alto,CatParcela_Residencial especial,CatParcela_Residencial tipo 1,CatParcela_Residencial tipo 2,CatParcela_Residencial unifamiliar,CatParcela_Terciario,Formato_Algo irregular,Formato_Muy irregular,Formato_Poco irregular,Formato_Rectangular,TipoDesnivel_Inclinación frontal,TipoDesnivel_Inclinación lateral,TipoDesnivel_Llana,TipoDesnivel_Muy irregular,Desnivel_Elevado,Desnivel_Ligero,Desnivel_Moderado,Situacion_Esquina,Situacion_Frontal 2 lados,Situacion_Frontal 3 lados,Situacion_Interior,Situacion_Trasero,postal_group_5,postal_group_6,Precio
4454,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
15092,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
38352,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
20566,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
79499,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
11130,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
19815,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
10578,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
36662,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
31485,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
20163,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
31963,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
34016,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
76551,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
46223,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
4537,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
26875,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
49627,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
35793,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
66339,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
75973,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
53405,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
35910,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
5466,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
17514,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
24363,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
9998,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
54883,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
70719,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
13725,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
34392,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
37809,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
59780,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
27389,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
20427,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
59302,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
38841,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
22769,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
12157,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
23458,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
66098,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
13537,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
62576,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
62040,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
62033,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
17817,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
20609,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
39979,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
45174,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
64034,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
922,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
20795,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
70332,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
53257,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
28050,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
74480,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
